drug_id,smiles
D00129,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
D00130,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O
D00131,CCN(CC)C(=S)SSC(=S)N(CC)CC
D00132,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
D00133,Oc1cccc(O)c1
D00134,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1
D00135,*C[C@H]1NC(=O)[C@@H](N)CNC(=O)[C@H]([C@H]2CC=NC(N)N2)NC(=O)/C(=C/NC(N)=O)NC(=O)[C@@H](CNC(=O)C[C@H](N)CCCN)NC1=O.O=S(=O)(O)O.O=S(=O)(O)O
D00136,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
D00137,CC(C)O
D00115,CCC(CC)NC(=O)COC(=O)c1cn(-c2ccccc2)nc1-c1ccc(C)cc1
D00116,CCC[C@H](C)NC(=O)COC(=O)c1cn(-c2ccccc2)nc1-c1ccc(C)cc1
D00138,CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1C1OC12
D00139,COc1c2occc2cc2ccc(=O)oc12
D00140,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
D00141,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
D00142,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
D00143,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
D00144,NC(=O)c1cnccn1
D00145,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
D00147,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)[C@H](CO)c1ccccc1)C2
D00148,CC1=C(C/C=C(\C)CCCC(C)CCCC(C)CCCC(C)C)C(=O)c2ccccc2C1=O
D00149,Oc1ccc(Cl)cc1
D00151,Cc1cccc(Nc2ccccc2C(=O)O)c1C
D00152,Oc1cc(O)cc(O)c1
D00128,Cc1ccc(-c2nn(-c3ccccc3)cc2C(=O)O[C@@H](C)C#N)cc1
D00153,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)OC(=O)CC[C@@H]12
D00154,CC1=C2[C@H]3OC(=O)[C@@H](C)[C@@H]3CC[C@@]2(C)C=CC1=O
D00155,OC[C@H]1O[C@@H](n2cnc3c2N=CNC[C@H]3O)C[C@@H]1O
D00156,CC1(C)[C@@H](O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12
D00157,CC1(C)[C@@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12
D00158,Cc1ccc(C(=O)c2ccc(CC(=O)[O-])n2C)cc1.O.O.[Na+]
D00159,COc1ccc2nc(NC(=O)Nc3ccccc3)sc2c1
D00160,NCCCCCC(=O)O
D00161,O.S=c1nc[nH]c2nc[nH]c12
D00162,Nc1ccc(C(=O)O)c(O)c1
D00163,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
D00164,CCCCCCCCCCCCCCCC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C
D00165,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
D00166,C/C1=C2/N([Co+]C#N)C([C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]2[C@@H](O)[C@@H](n3cnc4cc(C)c(C)cc43)O[C@@H]2CO)[C@]2(C)N=C(/C(C)=C3\N=C(/C=C4\N=C1[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]3(C)CC(N)=O)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O
D00167,OCC(S)CS
D00168,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1
D00169,Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O-])c1Cl.O.[Na+]
D00170,Cc1cc(=O)oc2cc(O)ccc12
D00171,*C[C@@]1(OC[C@@]2(O*)O[C@H](CO)[C@@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
D00146,C[C@H](OC(=O)COc1ccccc1Cl)C(=O)Nc1cccc(Cl)c1
D00174,NCC(O)CC(=O)O
D00175,N[C@@H](CSCC(=O)O)C(=O)O
D00176,NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1
D00150,O=C(COC(=O)COc1ccccc1Cl)Nc1ccc2c(c1)OCCO2
D00177,C[S+](C)CC[C@H](N)C(=O)O.[Cl-]
D00178,Cl.NCC(O)c1ccc(O)cc1
D00179,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
D00180,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O
D00181,CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1.O
D00182,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
D00183,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
D00185,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O
D00184,C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C
D00186,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
D00187,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12
D00188,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12
D00189,C[C@H](O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
D00190,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O.O.O.O
D00192,OCCc1ccccc1
D00191,*[Co+]N1/C2=C(/C)C3=N/C(=C\C4=N/C(=C(/C)C5=N[C@@](C)(C1[C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]1[C@@H](O)[C@@H](n2cnc6cc(C)c(C)cc62)O[C@@H]1CO)[C@@](C)(CC(N)=O)[C@@H]5CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)C(C)(C)[C@@H]3CCC(N)=O
D00193,CC(C)(CO)[C@@H](O)C(=O)NCCCO
D00194,C=C(C)C1CC=C(C)CC1
D00195,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341.O
D00196,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C
D00172,CC(C)[C@H](C)NC(=O)COC(=O)COc1ccccc1Cl
D00197,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
